,video_id,subject_id,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,subject_understood
258,0,0,4237.436035,4232.179688,4295.256348,4285.0,4237.820313,4163.717773,4149.102539,4162.179688,4137.563965,4147.436035,4571.666504,4398.589844,4425.769043,4504.230957,0
259,0,0,4256.410156,4223.589844,4323.333496,4305.641113,4241.922852,4176.922852,4167.05127,4181.666504,4151.922852,4168.077148,4587.563965,4423.846191,4431.410156,4523.077148,0
260,0,0,4222.820313,4193.589844,4285.128418,4266.153809,4226.282227,4170.128418,4140.641113,4149.102539,4140.384766,4145.256348,4555.512695,4392.307617,4399.358887,4487.436035,0
261,0,0,4202.563965,4187.307617,4264.871582,4247.94873,4227.05127,4157.820313,4131.025879,4140.256348,4139.358887,4122.820313,4520.128418,4362.05127,4381.538574,4456.153809,0
262,0,0,4218.589844,4187.563965,4287.563965,4257.94873,4228.205078,4166.538574,4144.487305,4157.436035,4138.846191,4134.743652,4548.077148,4385.0,4393.589844,4477.05127,0
263,0,0,4231.410156,4206.282227,4294.743652,4270.0,4231.410156,4173.589844,4155.0,4171.538574,4154.871582,4150.897461,4571.794922,4391.025879,4403.461426,4486.410156,0
264,0,0,4205.0,4173.077148,4271.538574,4256.153809,4220.256348,4182.179688,4156.794922,4171.025879,4152.94873,4146.794922,4570.641113,4385.769043,4385.897461,4471.922852,0
265,0,0,4216.025879,4166.410156,4283.974121,4254.230957,4209.358887,4143.717773,4144.743652,4153.846191,4132.436035,4153.717773,4591.282227,4385.641113,4402.94873,4484.102539,0
266,0,0,4193.333496,4168.717773,4268.077148,4248.205078,4213.077148,4139.615234,4138.717773,4147.436035,4136.794922,4133.717773,4568.974121,4357.94873,4382.94873,4461.025879,0
267,0,0,4200.512695,4162.179688,4268.077148,4254.358887,4206.410156,4128.974121,4135.641113,4154.615234,4151.025879,4145.897461,4576.025879,4358.333496,4382.94873,4467.563965,0
268,0,0,4202.179688,4156.025879,4264.871582,4251.922852,4213.077148,4146.025879,4130.897461,4147.94873,4153.846191,4141.666504,4574.743652,4351.153809,4389.358887,4467.05127,0
269,0,0,4202.820313,4171.794922,4282.179688,4258.461426,4235.897461,4150.641113,4153.717773,4165.512695,4149.102539,4135.384766,4575.384766,4369.615234,4388.717773,4477.05127,0
270,0,0,4203.205078,4177.179688,4282.436035,4256.153809,4220.769043,4134.615234,4126.153809,4140.128418,4141.666504,4134.487305,4566.282227,4364.358887,4391.410156,4479.487305,0
271,0,0,4215.256348,4184.743652,4292.05127,4276.922852,4231.282227,4159.871582,4134.871582,4161.922852,4165.512695,4163.077148,4598.589844,4380.769043,4424.871582,4494.871582,0
272,0,0,4230.0,4202.563965,4301.922852,4274.487305,4235.0,4156.794922,4138.717773,4162.05127,4151.794922,4163.077148,4607.94873,4392.05127,4441.153809,4504.615234,0
273,0,0,4212.179688,4175.769043,4288.717773,4248.077148,4230.897461,4158.974121,4151.410156,4167.307617,4169.871582,4157.05127,4584.102539,4377.94873,4403.333496,4485.769043,0
274,0,0,4221.153809,4180.128418,4291.922852,4241.025879,4224.615234,4151.538574,4134.358887,4149.230957,4126.282227,4127.94873,4573.333496,4374.358887,4419.871582,4488.077148,0
275,0,0,4222.307617,4194.230957,4291.025879,4248.333496,4223.205078,4168.846191,4131.282227,4158.846191,4155.256348,4154.871582,4608.717773,4377.179688,4417.05127,4491.922852,0
276,0,0,4219.871582,4169.615234,4287.307617,4238.846191,4219.871582,4177.05127,4141.666504,4173.333496,4174.871582,4162.94873,4604.230957,4383.077148,4429.230957,4494.230957,0
277,0,0,4207.05127,4173.974121,4271.282227,4228.205078,4222.307617,4167.94873,4111.410156,4135.769043,4138.717773,4158.717773,4581.794922,4358.077148,4420.769043,4484.230957,0
278,0,0,4189.743652,4151.538574,4259.615234,4215.897461,4207.692383,4159.358887,4125.0,4150.0,4144.487305,4134.358887,4557.563965,4351.410156,4395.769043,4470.641113,0
279,0,0,4204.358887,4156.922852,4265.0,4215.256348,4206.922852,4137.05127,4118.333496,4143.589844,4129.358887,4120.897461,4547.307617,4349.230957,4391.922852,4478.974121,0
280,0,0,4213.461426,4179.487305,4276.025879,4237.692383,4221.922852,4140.384766,4119.358887,4143.333496,4137.563965,4138.974121,4577.94873,4360.512695,4408.589844,4487.436035,0
281,0,0,4237.05127,4208.717773,4300.128418,4250.769043,4215.641113,4114.102539,4132.307617,4151.666504,4143.717773,4149.230957,4591.153809,4374.358887,4430.897461,4503.846191,0
282,0,0,4240.128418,4201.538574,4304.615234,4248.205078,4215.384766,4123.461426,4134.102539,4171.410156,4161.153809,4172.436035,4612.307617,4391.153809,4448.333496,4513.205078,0
283,0,0,4208.077148,4180.512695,4275.512695,4222.820313,4206.410156,4118.974121,4125.128418,4135.769043,4121.794922,4123.846191,4558.461426,4353.589844,4401.410156,4478.461426,0
284,0,0,4217.179688,4190.0,4282.94873,4229.871582,4212.94873,4135.0,4125.0,4171.794922,4156.666504,4153.333496,4598.077148,4376.666504,4415.897461,4490.256348,0
285,0,0,4218.589844,4174.230957,4285.641113,4243.077148,4218.205078,4141.410156,4136.922852,4158.461426,4139.487305,4141.666504,4584.102539,4371.666504,4406.794922,4490.641113,0
286,0,0,4227.692383,4170.256348,4300.128418,4259.487305,4222.436035,4148.717773,4150.128418,4168.717773,4143.205078,4137.563965,4599.102539,4381.410156,4414.358887,4508.205078,0
